EG_GH_ID YEAR MONTH DAY TIME  D   F
H3RADO01 2024 12    31  13:00 104  ,5
H3RADO01 2024 12    31  13:10  53  ,4
H3RADO01 2024 12    31  13:20  33  ,4
H3RADO01 2024 12    31  13:30  45  ,9
H3RADO01 2024 12    31  13:40  44  ,7
H3SECA01 2024 12    31  13:00 163   1
H3SECA01 2024 12    31  13:10 176 1,6
H3SECA01 2024 12    31  13:20 179  ,8
H3SECA01 2024 12    31  13:30 182 1,3
H3SECA01 2024 12    31  13:40 175   2
H3SKUT01 2024 12    31  13:00  26 1,2
H3SKUT01 2024 12    31  13:10  24 1,1
H3SKUT01 2024 12    31  13:20  10 1,1
H3SKUT01 2024 12    31  13:30 349  ,9
H3SKUT01 2024 12    31  13:40   3  ,5
H3SVOD01 2024 12    31  13:00  58  ,6
H3SVOD01 2024 12    31  13:10 357  ,7
H3SVOD01 2024 12    31  13:20  19  ,9
H3SVOD01 2024 12    31  13:30  98  ,6
H3SVOD01 2024 12    31  13:40  55  ,7
H3SVRA01 2024 12    31  13:00 267   4
H3SVRA01 2024 12    31  13:10 270 3,7
H3SVRA01 2024 12    31  13:20 273 3,8
H3SVRA01 2024 12    31  13:30 255 3,1
H3SVRA01 2024 12    31  13:40 206 2,3
H3ZBYS01 2024 12    31  13:00 352  ,4
H3ZBYS01 2024 12    31  13:10   0   0
H3ZBYS01 2024 12    31  13:20   0   0
H3ZBYS01 2024 12    31  13:30   0   0
H3ZBYS01 2024 12    31  13:40   0   0
L1DOMA01 2024 12    31  13:00 312   1
L1DOMA01 2024 12    31  13:10 319   1
L1DOMA01 2024 12    31  13:20 329  ,9
L1DOMA01 2024 12    31  13:30 317 1,1
L1DOMA01 2024 12    31  13:40 319   1
L1HOJS01 2024 12    31  13:00 135  ,9
L1HOJS01 2024 12    31  13:10 128   1
L1HOJS01 2024 12    31  13:20 122   1
L1HOJS01 2024 12    31  13:30 138 2,3
L1HOJS01 2024 12    31  13:40 144 2,6
L1KLAT01 2024 12    31  13:00  63  ,3
L1KLAT01 2024 12    31  13:10 214  ,9
L1KLAT01 2024 12    31  13:20 257  ,8
L1KLAT01 2024 12    31  13:30 198  ,5
L1KLAT01 2024 12    31  13:40  20  ,1
L1NEPO01 2024 12    31  13:00 299  ,6
L1NEPO01 2024 12    31  13:10 231  ,9
L1NEPO01 2024 12    31  13:20 189  ,7
L1NEPO01 2024 12    31  13:30 177  ,9
L1NEPO01 2024 12    31  13:40 236  ,7
L1PLMI01 2024 12    31  13:00 216 3,5
L1PLMI01 2024 12    31  13:10 207 3,5
L1PLMI01 2024 12    31  13:20 216 3,3
L1PLMI01 2024 12    31  13:30 223 4,2
L1PLMI01 2024 12    31  13:40 217 4,1
L1STAN01 2024 12    31  13:00 264   1
L1STAN01 2024 12    31  13:10 274 1,4
L1STAN01 2024 12    31  13:20 268   1
L1STAN01 2024 12    31  13:30 240  ,9
L1STAN01 2024 12    31  13:40 290  ,4
L2DYLE01 2024 12    31  13:00 235 6,8
L2DYLE01 2024 12    31  13:10 236 6,9
L2DYLE01 2024 12    31  13:20 236 6,5
L2DYLE01 2024 12    31  13:30 233 6,8
L2DYLE01 2024 12    31  13:40 232 6,6
L2HERM01 2024 12    31  13:00  81 1,4
L2HERM01 2024 12    31  13:10 112 1,2
L2HERM01 2024 12    31  13:20  81   1
L2HERM01 2024 12    31  13:30  67  ,9
L2HERM01 2024 12    31  13:40  78  ,4
L2KONL01 2024 12    31  13:00 231 1,9
L2KONL01 2024 12    31  13:10 228 1,1
L2KONL01 2024 12    31  13:20 234 1,9
L2KONL01 2024 12    31  13:30 227   2
L2KONL01 2024 12    31  13:40 228 1,6
L2KRAL01 2024 12    31  13:00 207 2,6
L2KRAL01 2024 12    31  13:10 204 2,7
L2KRAL01 2024 12    31  13:20 202 3,2
L2KRAL01 2024 12    31  13:30 205   3
L2KRAL01 2024 12    31  13:40 205 3,1
L2KRAU01 2024 12    31  13:00 337  ,8
L2KRAU01 2024 12    31  13:10 326  ,8
L2KRAU01 2024 12    31  13:20 315  ,6
L2KRAU01 2024 12    31  13:30 270  ,7
L2KRAU01 2024 12    31  13:40 244  ,7
L2MLAV01 2024 12    31  13:00 212   1
L2MLAV01 2024 12    31  13:10 213  ,5
L2MLAV01 2024 12    31  13:20 209  ,4
L2MLAV01 2024 12    31  13:30 206  ,4
L2MLAV01 2024 12    31  13:40 234  ,9
L2PRIM01 2024 12    31  13:00 270 4,7
L2PRIM01 2024 12    31  13:10 270 4,8
L2PRIM01 2024 12    31  13:20 273 4,3
L2PRIM01 2024 12    31  13:30 271 4,6
L2PRIM01 2024 12    31  13:40 274 4,6
L2STRI01 2024 12    31  13:00 254 2,4
L2STRI01 2024 12    31  13:10 249 2,5
L2STRI01 2024 12    31  13:20 247 3,1
L2STRI01 2024 12    31  13:30 246   3
L2STRI01 2024 12    31  13:40 248 3,1
L2ZBIR01 2024 12    31  13:00 223 2,9
L2ZBIR01 2024 12    31  13:10 217 2,6
L2ZBIR01 2024 12    31  13:20 222 3,1
L2ZBIR01 2024 12    31  13:30 229 3,4
L2ZBIR01 2024 12    31  13:40 229   3
